,Scientific Name,clade,iucn,coverage,uncertain,sources,,proper-names
1,ABBREVIATA BANCROFTI,Nematoda,VU,Fair,Perfect,GBIF,,
2,ABBREVIATA HASTASPICULA,Nematoda,VU,Weak,Perfect,GBIF,,
3,AGLENCHUS AGRICOLA,Nematoda,VU,Weak,Perfect,GBIF,,
4,ALAIMUS PRIMITIVUS,Nematoda,EN,Weak,Perfect,GBIF,,
5,ALLOCORRIGIA FILIFORMIS,Trematoda,LC,Weak,Weak,USNPC,,
6,ALLOGLOSSIDIUM CORTI,Trematoda,LC,Fair,Good,GBIF,,
7,AMALARAEUS PENICILLIGER,Siphonaptera,EN,Weak,Perfect,GBIF,,
8,AMBLYOMMA AMERICANUM,Ixodida,LC,Excellent,Weak,GBIF,,
9,AMBLYOMMA ASTRION,Ixodida,VU,Fair,Perfect,Cumming,,
10,AMBLYOMMA CAJENNENSE,Ixodida,LC,Good,Good,GBIF,,
11,AMBLYOMMA COHAERENS,Ixodida,EN,Excellent,Perfect,Cumming,,
12,AMBLYOMMA COMPRESSUM,Ixodida,VU,Fair,Perfect,Cumming,,
13,AMBLYOMMA CUNEATUM,Ixodida,LC,Good,Perfect,Cumming,,
14,AMBLYOMMA EBERNEUM,Ixodida,LC,Fair,Perfect,Cumming,,
15,AMBLYOMMA EXORNATUM,Ixodida,LC,Excellent,Perfect,Cumming,,
16,AMBLYOMMA FALSOMARMOREUM,Ixodida,LC,Weak,Perfect,Cumming,,
17,AMBLYOMMA FIMBRIATUM,Ixodida,LC,Excellent,Perfect,GBIF,,
18,AMBLYOMMA FLAVOMACULATUM,Ixodida,LC,Fair,Perfect,Cumming,,
19,AMBLYOMMA GEMMA,Ixodida,VU,Excellent,Perfect,Cumming,,
20,AMBLYOMMA GEOEMYDAE,Ixodida,LC,Fair,Perfect,GBIF,,
21,AMBLYOMMA HEBRAEUM,Ixodida,EN,Excellent,Perfect,Cumming,,
22,AMBLYOMMA HELVOLUM,Ixodida,LC,Good,Perfect,GBIF,,
23,AMBLYOMMA JAVANENSE,Ixodida,LC,Fair,Perfect,GBIF,,
24,AMBLYOMMA LATUM,Ixodida,VU,Excellent,Perfect,Cumming,,
