,tss,roc,clade,iucn,coverage,uncertain
1,0.9556,0.98461,SIPHONAPTERA,EN,Weak,Perfect
38,LQ,3.5,,,,
3,-63.54,-55.268,,,,
4,-78.953,-54.949,,,,
5,-27.088,0.701,,,,
6,-40.405,8.232,,,,
7,-55.108,-10.097,,,,
8,-62.926,-5.85,,,,
9,-25.757,-19.015,,,,
10,-32.762,-23.422,,,,
11,-37.082,-28.212,,,,
12,-54.989,-35.48,,,,
13,-53.594,-48.43,,,,
14,-71.645,-57.252,,,,
15,-68.258,-61.603,,,,
16,-80.786,-61.03,,,,
17,-47.394,-29.997,,,,
18,-69.517,-47.442,,,,
19,-70.991,-45.999,,,,
20,-83.671,-51.626,,,,
